timestamp_unix,mode,phase,ip,request_id,task_type,payload_bytes,status_code,response_ms,outcome,error
1775362007.195,flood,attack,192.168.100.10,1,factorial,36,200,405.8,allowed,
1775362007.245,flood,attack,192.168.100.10,3,addition,49,200,401.0,allowed,
1775362007.221,flood,attack,192.168.100.10,2,factorial,36,200,458.0,allowed,
1775362007.305,flood,attack,192.168.100.10,5,addition,49,200,415.8,allowed,
1775362007.268,flood,attack,192.168.100.10,4,multiplication,54,200,538.8,allowed,
1775362007.337,flood,attack,192.168.100.10,6,addition,49,200,523.7,allowed,
1775362007.358,flood,attack,192.168.100.10,7,factorial,36,200,597.4,allowed,
1775362007.404,flood,attack,192.168.100.10,9,string_length,78,200,574.6,allowed,
1775362007.380,flood,attack,192.168.100.10,8,factorial,36,200,646.4,allowed,
1775362007.457,flood,attack,192.168.100.10,11,addition,49,200,600.1,allowed,
1775362007.481,flood,attack,192.168.100.10,12,factorial,36,200,621.1,allowed,
1775362007.594,flood,attack,192.168.100.10,17,addition,48,200,618.7,allowed,
1775362007.524,flood,attack,192.168.100.10,14,factorial,36,200,698.4,allowed,
1775362007.503,flood,attack,192.168.100.10,13,string_length,90,200,903.9,allowed,
1775362007.573,flood,attack,192.168.100.10,16,addition,49,200,852.5,allowed,
1775362007.549,flood,attack,192.168.100.10,15,factorial,36,200,913.3,allowed,
1775362007.617,flood,attack,192.168.100.10,18,factorial,36,200,929.9,allowed,
1775362007.751,flood,attack,192.168.100.10,24,addition,49,200,864.1,allowed,
1775362007.436,flood,attack,192.168.100.10,10,factorial,36,200,1191.0,allowed,
1775362007.706,flood,attack,192.168.100.10,22,addition,49,200,939.5,allowed,
1775362007.819,flood,attack,192.168.100.10,27,string_length,54,200,933.4,allowed,
1775362007.638,flood,attack,192.168.100.10,19,factorial,36,200,1212.1,allowed,
1775362007.661,flood,attack,192.168.100.10,20,string_length,54,200,1208.7,allowed,
1775362007.797,flood,attack,192.168.100.10,26,find_vowels,100,200,1076.4,allowed,
1775362007.683,flood,attack,192.168.100.10,21,multiplication,55,200,1194.1,allowed,
1775362007.773,flood,attack,192.168.100.10,25,multiplication,55,200,1258.9,allowed,
1775362007.936,flood,attack,192.168.100.10,32,factorial,36,200,1151.5,allowed,
1775362007.891,flood,attack,192.168.100.10,30,string_length,66,200,1296.9,allowed,
1775362007.844,flood,attack,192.168.100.10,28,multiplication,54,200,1344.6,allowed,
