timestamp_unix,mode,phase,ip,request_id,task_type,payload_bytes,status_code,response_ms,outcome,error
1775362248.650,mixed,attack,192.168.100.40,1,addition,49,200,225.9,allowed,
1775362248.650,mixed,legitimate,192.168.100.50,1,string_length,78,200,238.1,allowed,
1775362248.722,mixed,legitimate,192.168.100.50,2,string_length,66,200,296.7,allowed,
1775362248.726,mixed,attack,192.168.100.40,2,find_vowels,60,200,372.6,allowed,
1775362248.791,mixed,legitimate,192.168.100.50,3,addition,49,200,350.8,allowed,
1775362248.793,mixed,attack,192.168.100.40,3,find_vowels,60,200,370.8,allowed,
1775362248.859,mixed,legitimate,192.168.100.50,4,addition,49,200,360.5,allowed,
1775362248.935,mixed,attack,192.168.100.40,5,addition,49,200,329.2,allowed,
1775362248.865,mixed,attack,192.168.100.40,4,addition,49,200,477.6,allowed,
1775362249.006,mixed,attack,192.168.100.40,6,string_length,66,200,374.5,allowed,
1775362249.066,mixed,legitimate,192.168.100.50,7,find_vowels,100,200,354.4,allowed,
1775362248.928,mixed,legitimate,192.168.100.50,5,factorial,36,200,494.9,allowed,
1775362249.075,mixed,attack,192.168.100.40,7,addition,48,200,374.9,allowed,
1775362248.998,mixed,legitimate,192.168.100.50,6,factorial,36,200,486.8,allowed,
1775362249.135,mixed,legitimate,192.168.100.50,8,string_length,78,200,405.8,allowed,
1775362249.213,mixed,attack,192.168.100.40,9,find_vowels,60,200,352.3,allowed,
1775362249.203,mixed,legitimate,192.168.100.50,9,string_length,90,200,369.9,allowed,
1775362249.143,mixed,attack,192.168.100.40,8,string_length,54,200,456.7,allowed,
1775362249.272,mixed,legitimate,192.168.100.50,10,find_vowels,100,200,423.8,allowed,
1775362249.475,mixed,legitimate,192.168.100.50,13,addition,48,200,220.5,allowed,
1775362249.340,mixed,legitimate,192.168.100.50,11,multiplication,55,200,406.2,allowed,
1775362249.281,mixed,attack,192.168.100.40,10,find_vowels,100,200,480.7,allowed,
1775362249.487,mixed,attack,192.168.100.40,13,find_vowels,100,200,307.6,allowed,
1775362249.350,mixed,attack,192.168.100.40,11,find_vowels,100,200,477.7,allowed,
1775362249.543,mixed,legitimate,192.168.100.50,14,find_vowels,80,200,299.2,allowed,
1775362249.616,mixed,legitimate,192.168.100.50,15,find_vowels,60,200,314.3,allowed,
1775362249.556,mixed,attack,192.168.100.40,14,find_vowels,60,200,395.4,allowed,
1775362249.408,mixed,legitimate,192.168.100.50,12,string_length,54,200,557.0,allowed,
1775362249.685,mixed,legitimate,192.168.100.50,16,string_length,66,200,287.1,allowed,
1775362249.626,mixed,attack,192.168.100.40,15,string_length,66,200,383.3,allowed,
1775362249.765,mixed,attack,192.168.100.40,17,addition,48,200,325.9,allowed,
1775362249.753,mixed,legitimate,192.168.100.50,17,find_vowels,60,200,401.0,allowed,
1775362249.697,mixed,attack,192.168.100.40,16,multiplication,55,200,461.6,allowed,
1775362249.821,mixed,legitimate,192.168.100.50,18,addition,49,200,345.7,allowed,
1775362249.889,mixed,legitimate,192.168.100.50,19,addition,49,200,335.3,allowed,
1775362249.900,mixed,attack,192.168.100.40,19,find_vowels,100,200,385.4,allowed,
1775362249.832,mixed,attack,192.168.100.40,18,addition,49,200,455.6,allowed,
1775362249.417,mixed,attack,192.168.100.40,12,multiplication,55,200,901.1,allowed,
1775362249.957,mixed,legitimate,192.168.100.50,20,string_length,78,200,374.5,allowed,
1775362249.968,mixed,attack,192.168.100.40,20,factorial,36,200,379.5,allowed,
1775362250.036,mixed,attack,192.168.100.40,21,string_length,78,200,347.7,allowed,
1775362250.024,mixed,legitimate,192.168.100.50,21,multiplication,55,200,403.5,allowed,
1775362250.092,mixed,legitimate,192.168.100.50,22,find_vowels,100,200,382.7,allowed,
1775362250.162,mixed,legitimate,192.168.100.50,23,multiplication,54,200,327.4,allowed,
1775362250.104,mixed,attack,192.168.100.40,22,find_vowels,60,200,412.2,allowed,
1775362250.241,mixed,attack,192.168.100.40,24,addition,48,200,308.4,allowed,
1775362250.298,mixed,legitimate,192.168.100.50,25,string_length,78,200,261.8,allowed,
1775362250.309,mixed,attack,192.168.100.40,25,string_length,90,200,344.6,allowed,
1775362250.366,mixed,legitimate,192.168.100.50,26,multiplication,55,200,498.3,allowed,
1775362250.230,mixed,legitimate,192.168.100.50,24,factorial,36,200,643.1,allowed,
1775362250.433,mixed,legitimate,192.168.100.50,27,factorial,36,200,446.1,allowed,
1775362250.173,mixed,attack,192.168.100.40,23,factorial,36,200,725.9,allowed,
1775362250.447,mixed,attack,192.168.100.40,27,string_length,78,200,455.1,allowed,
1775362250.378,mixed,attack,192.168.100.40,26,multiplication,55,200,550.6,allowed,
1775362250.514,mixed,attack,192.168.100.40,28,find_vowels,100,200,415.4,allowed,
1775362250.501,mixed,legitimate,192.168.100.50,28,multiplication,55,200,433.3,allowed,
1775362250.569,mixed,legitimate,192.168.100.50,29,find_vowels,60,200,400.7,allowed,
1775362250.582,mixed,attack,192.168.100.40,29,factorial,36,200,399.0,allowed,
1775362250.650,mixed,attack,192.168.100.40,30,string_length,90,200,541.0,allowed,
1775362250.637,mixed,legitimate,192.168.100.50,30,addition,48,200,577.9,allowed,
1775362250.773,mixed,legitimate,192.168.100.50,32,find_vowels,60,200,508.4,allowed,
1775362250.854,mixed,attack,192.168.100.40,33,string_length,54,200,498.5,allowed,
1775362250.717,mixed,attack,192.168.100.40,31,addition,49,200,637.4,allowed,
1775362250.997,mixed,attack,192.168.100.40,35,addition,49,200,397.9,allowed,
1775362250.843,mixed,legitimate,192.168.100.50,33,multiplication,55,200,580.4,allowed,
1775362250.910,mixed,legitimate,192.168.100.50,34,string_length,66,200,542.0,allowed,
1775362251.049,mixed,legitimate,192.168.100.50,36,string_length,78,200,439.9,allowed,
1775362250.979,mixed,legitimate,192.168.100.50,35,multiplication,54,200,519.1,allowed,
1775362250.705,mixed,legitimate,192.168.100.50,31,multiplication,55,200,852.3,allowed,
1775362251.064,mixed,attack,192.168.100.40,36,addition,49,200,503.7,allowed,
1775362251.201,mixed,attack,192.168.100.40,38,find_vowels,60,200,404.6,allowed,
1775362250.927,mixed,attack,192.168.100.40,34,string_length,66,200,755.1,allowed,
1775362251.253,mixed,legitimate,192.168.100.50,39,addition,49,200,443.2,allowed,
1775362251.185,mixed,legitimate,192.168.100.50,38,addition,48,200,588.1,allowed,
1775362251.132,mixed,attack,192.168.100.40,37,factorial,36,200,658.9,allowed,
1775362251.338,mixed,attack,192.168.100.40,40,find_vowels,80,200,509.6,allowed,
1775362251.390,mixed,legitimate,192.168.100.50,41,addition,49,200,457.4,allowed,
1775362251.117,mixed,legitimate,192.168.100.50,37,factorial,36,200,742.7,allowed,
1775362251.459,mixed,legitimate,192.168.100.50,42,string_length,54,200,434.8,allowed,
1775362251.322,mixed,legitimate,192.168.100.50,40,factorial,36,200,665.5,allowed,
1775362251.542,mixed,attack,192.168.100.40,43,multiplication,55,200,474.4,allowed,
1775362250.785,mixed,attack,192.168.100.40,32,multiplication,54,200,1253.0,allowed,
1775362251.745,mixed,attack,192.168.100.40,46,string_length,78,200,298.0,allowed,
1775362251.405,mixed,attack,192.168.100.40,41,find_vowels,60,200,658.2,allowed,
1775362251.269,mixed,attack,192.168.100.40,39,string_length,90,200,820.0,allowed,
1775362251.527,mixed,legitimate,192.168.100.50,43,factorial,36,200,611.7,allowed,
1775362251.595,mixed,legitimate,192.168.100.50,44,factorial,36,200,564.7,allowed,
1775362251.677,mixed,attack,192.168.100.40,45,string_length,78,200,491.9,allowed,
1775362251.610,mixed,attack,192.168.100.40,44,find_vowels,60,200,566.5,allowed,
1775362251.814,mixed,attack,192.168.100.40,47,addition,50,200,474.6,allowed,
1775362252.142,mixed,legitimate,192.168.100.50,52,addition,49,200,239.7,allowed,
1775362251.801,mixed,legitimate,192.168.100.50,47,factorial,36,200,593.6,allowed,
1775362251.870,mixed,legitimate,192.168.100.50,48,find_vowels,100,200,560.9,allowed,
