timestamp_unix,mode,phase,ip,request_id,task_type,payload_bytes,status_code,response_ms,outcome,error
1775362117.779,slow_rate,warmup,192.168.100.20,1,factorial,36,200,307.1,allowed,
1775362118.187,slow_rate,warmup,192.168.100.20,2,factorial,36,200,301.3,allowed,
1775362118.589,slow_rate,warmup,192.168.100.20,3,find_vowels,80,200,221.5,allowed,
1775362118.911,slow_rate,warmup,192.168.100.20,4,addition,49,200,175.5,allowed,
1775362119.187,slow_rate,warmup,192.168.100.20,5,find_vowels,80,200,208.6,allowed,
1775362119.497,slow_rate,warmup,192.168.100.20,6,find_vowels,80,200,207.0,allowed,
1775362119.805,slow_rate,warmup,192.168.100.20,7,addition,49,200,174.9,allowed,
1775362120.081,slow_rate,warmup,192.168.100.20,8,factorial,36,200,285.0,allowed,
1775362120.466,slow_rate,warmup,192.168.100.20,9,addition,49,200,173.1,allowed,
1775362120.740,slow_rate,warmup,192.168.100.20,10,factorial,36,200,277.3,allowed,
1775362121.118,slow_rate,warmup,192.168.100.20,11,find_vowels,80,200,213.8,allowed,
1775362121.433,slow_rate,warmup,192.168.100.20,12,multiplication,54,200,227.1,allowed,
1775362121.761,slow_rate,warmup,192.168.100.20,13,find_vowels,100,200,237.2,allowed,
1775362122.098,slow_rate,warmup,192.168.100.20,14,multiplication,55,200,236.3,allowed,
1775362122.435,slow_rate,warmup,192.168.100.20,15,addition,49,200,179.9,allowed,
1775362122.716,slow_rate,warmup,192.168.100.20,16,addition,49,200,264.9,allowed,
1775362123.081,slow_rate,warmup,192.168.100.20,17,addition,48,200,185.3,allowed,
1775362123.367,slow_rate,warmup,192.168.100.20,18,find_vowels,100,200,211.7,allowed,
1775362123.679,slow_rate,warmup,192.168.100.20,19,multiplication,55,200,234.5,allowed,
1775362124.014,slow_rate,warmup,192.168.100.20,20,addition,48,200,190.6,allowed,
1775362124.306,slow_rate,warmup,192.168.100.20,21,multiplication,55,200,331.5,allowed,
1775362124.738,slow_rate,warmup,192.168.100.20,22,addition,49,200,198.9,allowed,
1775362125.038,slow_rate,warmup,192.168.100.20,23,find_vowels,100,200,215.9,allowed,
1775362125.355,slow_rate,warmup,192.168.100.20,24,find_vowels,100,200,206.7,allowed,
1775362125.663,slow_rate,warmup,192.168.100.20,25,find_vowels,80,200,228.1,allowed,
1775362125.991,slow_rate,warmup,192.168.100.20,26,multiplication,55,200,292.5,allowed,
1775362126.384,slow_rate,warmup,192.168.100.20,27,string_length,66,200,189.9,allowed,
1775362126.675,slow_rate,warmup,192.168.100.20,28,multiplication,54,200,207.4,allowed,
1775362126.983,slow_rate,warmup,192.168.100.20,29,string_length,66,200,231.6,allowed,
1775362127.315,slow_rate,warmup,192.168.100.20,30,addition,48,200,196.5,allowed,
1775362127.613,slow_rate,warmup,192.168.100.20,31,string_length,66,200,211.0,allowed,
1775362127.924,slow_rate,warmup,192.168.100.20,32,multiplication,54,200,238.5,allowed,
1775362128.263,slow_rate,warmup,192.168.100.20,33,find_vowels,60,200,220.1,allowed,
1775362128.584,slow_rate,warmup,192.168.100.20,34,addition,49,200,166.0,allowed,
1775362128.851,slow_rate,warmup,192.168.100.20,35,string_length,66,200,200.0,allowed,
1775362129.151,slow_rate,warmup,192.168.100.20,36,string_length,66,200,212.1,allowed,
1775362129.465,slow_rate,warmup,192.168.100.20,37,addition,49,200,245.7,allowed,
1775362129.811,slow_rate,warmup,192.168.100.20,38,string_length,54,200,308.6,allowed,
1775362130.220,slow_rate,warmup,192.168.100.20,39,multiplication,55,200,229.6,allowed,
1775362130.551,slow_rate,warmup,192.168.100.20,40,string_length,66,200,195.9,allowed,
1775362130.847,slow_rate,warmup,192.168.100.20,41,find_vowels,60,200,202.5,allowed,
1775362131.150,slow_rate,warmup,192.168.100.20,42,multiplication,55,200,223.0,allowed,
1775362131.474,slow_rate,warmup,192.168.100.20,43,addition,49,200,178.3,allowed,
1775362131.753,slow_rate,warmup,192.168.100.20,44,multiplication,55,200,230.4,allowed,
1775362132.084,slow_rate,warmup,192.168.100.20,45,multiplication,55,200,235.2,allowed,
1775362132.420,slow_rate,warmup,192.168.100.20,46,multiplication,54,200,217.0,allowed,
1775362132.738,slow_rate,warmup,192.168.100.20,47,factorial,36,200,296.1,allowed,
1775362133.135,slow_rate,warmup,192.168.100.20,48,factorial,36,200,283.3,allowed,
1775362133.519,slow_rate,warmup,192.168.100.20,49,addition,49,200,180.4,allowed,
1775362133.800,slow_rate,warmup,192.168.100.20,50,multiplication,54,200,236.3,allowed,
1775362134.137,slow_rate,warmup,192.168.100.20,51,find_vowels,100,200,217.8,allowed,
1775362134.455,slow_rate,warmup,192.168.100.20,52,addition,49,200,178.3,allowed,
1775362134.734,slow_rate,warmup,192.168.100.20,53,string_length,78,200,210.9,allowed,
1775362135.046,slow_rate,warmup,192.168.100.20,54,addition,49,200,171.8,allowed,
1775362135.318,slow_rate,warmup,192.168.100.20,55,addition,49,200,192.5,allowed,
1775362135.612,slow_rate,warmup,192.168.100.20,56,multiplication,54,200,231.1,allowed,
1775362135.944,slow_rate,warmup,192.168.100.20,57,factorial,36,200,283.6,allowed,
1775362136.328,slow_rate,warmup,192.168.100.20,58,addition,49,200,223.5,allowed,
1775362136.652,slow_rate,warmup,192.168.100.20,59,string_length,54,200,203.8,allowed,
1775362136.957,slow_rate,warmup,192.168.100.20,60,find_vowels,100,200,226.1,allowed,
1775362137.283,slow_rate,warmup,192.168.100.20,61,factorial,36,200,276.1,allowed,
1775362137.660,slow_rate,warmup,192.168.100.20,62,factorial,36,200,301.6,allowed,
1775362138.062,slow_rate,warmup,192.168.100.20,63,string_length,90,200,195.8,allowed,
1775362138.358,slow_rate,warmup,192.168.100.20,64,addition,49,200,174.4,allowed,
1775362138.633,slow_rate,warmup,192.168.100.20,65,string_length,78,200,199.6,allowed,
1775362138.933,slow_rate,warmup,192.168.100.20,66,string_length,90,200,213.2,allowed,
1775362139.247,slow_rate,warmup,192.168.100.20,67,find_vowels,100,200,224.0,allowed,
1775362139.572,slow_rate,warmup,192.168.100.20,68,addition,48,200,173.1,allowed,
1775362139.846,slow_rate,warmup,192.168.100.20,69,find_vowels,60,200,199.5,allowed,
1775362140.146,slow_rate,warmup,192.168.100.20,70,factorial,36,200,271.9,allowed,
