timestamp_unix,mode,phase,ip,request_id,task_type,payload_bytes,status_code,response_ms,outcome,error
1775366698.804,sqli,attack,192.168.100.30,1,addition,80,200,56.9,honeypot,
1775366698.914,sqli,attack,192.168.100.30,2,addition,58,200,60.9,honeypot,
1775366699.026,sqli,attack,192.168.100.30,3,addition,76,200,69.5,honeypot,
1775366699.146,sqli,attack,192.168.100.30,4,addition,58,200,41.4,honeypot,
1775366699.238,sqli,attack,192.168.100.30,5,addition,97,200,44.3,honeypot,
1775366699.333,sqli,attack,192.168.100.30,6,addition,59,200,55.5,honeypot,
1775366699.440,sqli,attack,192.168.100.30,7,addition,58,200,62.1,honeypot,
1775366699.553,sqli,attack,192.168.100.30,8,addition,76,200,57.6,honeypot,
1775366699.661,sqli,attack,192.168.100.30,9,addition,59,200,52.6,honeypot,
1775366699.764,sqli,attack,192.168.100.30,10,addition,80,200,50.1,honeypot,
1775366699.865,sqli,attack,192.168.100.30,11,addition,78,200,56.7,honeypot,
1775366699.973,sqli,attack,192.168.100.30,12,addition,59,200,66.0,honeypot,
1775366700.090,sqli,attack,192.168.100.30,13,addition,59,200,56.7,honeypot,
1775366700.197,sqli,attack,192.168.100.30,14,addition,76,200,48.8,honeypot,
1775366700.296,sqli,attack,192.168.100.30,15,addition,57,200,42.9,honeypot,
1775366700.390,sqli,attack,192.168.100.30,16,addition,97,200,61.8,honeypot,
1775366700.503,sqli,attack,192.168.100.30,17,addition,76,200,52.3,honeypot,
1775366700.606,sqli,attack,192.168.100.30,18,addition,76,200,63.3,honeypot,
1775366700.720,sqli,attack,192.168.100.30,19,addition,78,200,43.3,honeypot,
1775366700.814,sqli,attack,192.168.100.30,20,addition,59,200,55.4,honeypot,
